message_id,user_id,nickname,Ground_truth,Label_Algorithm,comment_text,API_score,up_count,down_count,reply_count,Default,Moderation_bot,Recommendation_bot,Bot_Assessment_Type,Reason
8af5e578-65ce-4ef3-8438-9e1648fd38dc,H4J6ZPIC3BPI5RN2SOZNLP37GA,The Immortal One,unabusive,unabusive,"Well, I voted against this but I knew it would win. I am not a drug fan but realize it is a big waste of law enforcement time and unjust punishment for the users. Still you could not get me to say that this is a great idea. Just best for the circumstances.",,2,2,0,,,Recommended by bot,TP,
43620232-0c6e-483f-a379-55a3bba55030,5KH74T5YGSTE6RBPUF56C3SDUE,Tennaj,unabusive,unabusive,I wish we would make healthcare and mental healthcare legally free for those in need and not weed !!,,2,1,2,,,,FN,good point
e9b71828-db6f-486f-b90f-f8dfe0b0c8ed,WCNGTZ65VEXDJQCCDODINWZIGI,Paul,unabusive,unabusive,The states can do whatever they want but it is still against federal and according to federal law it is a scheduled 1 narcotic.  Federal law supersedes state law so it is still illegal no matter what states do.  Disclaimer I really don't care either way as I don't smoke,,1,0,0,,,,TN,
1a1b3bf7-4d1e-46da-a3d5-8a59d156f183,PVNMNW772S2Z7TZGL4FUKYVC54,LaughandASmile,unabusive,unabusive,"So, where are the laws for when people do  everyday work activities (i.e. driving, flying a plane, getting your teeth worked on, surgery, buying and trading stocks, watching kids in daycare, etc) are done by stoned individuals who end up killing people? None yet? That cannot be good for society.",,1,1,2,,,,TN,
1d50c666-3902-4a01-8382-9ec1ca8ed98e,VQANCXFUBF55OTXGQBF4WEUMAU,Thinkforyourself,unabusive,unabusive,"It is all about accountability.  For the ""truly"" sick, I am not opposed to it.  But NO ONE watches these sales, NO ONE hold these sellers accountable, and because of this, it spreads to become recreational use also.  I watched my neighbors son, who was a great athlete in high school, a very good student, and an outgoing, friendly young man, to getting involved with the wrong people and becoming hooked on weed.  He lost his job, lost his interest in life, gained 75 lbs and became a recluse.  His relationship with his family suffered greatly and was on a terrible downward spiral.  The family had a young Minister come to talk to him, and that was his start for recovery.  I am happy to say the young man is about 80% recovered and is doing better each year.  He is now 34 and has wasted over 10 years because of weed, pot, marijuana  .  Don't anyone tell me that pot, weed, marijuana does not destroy lives.",,1,5,3,,,Recommended by bot,TP,
e512157a-20f6-4c8f-bd40-ab0184f7b177,Z3MVI4L2NMWNQBAHOGH4KYRIZI,Michael,unabusive,unabusive,"The Michigan-Ontario boarder crossing will look like Michigan (legal), Ontario/Canada (legal), U.S. Customs (Illegal). I can see unknowing people who cross getting in legal troubles with that setup.",,1,1,1,,,,TN,
db543b1c-e30c-4279-808b-1e0886a99f0b,MXDVS6L3K2ADYQHZMFBIUJSWDE,Calvin,unabusive,abusive,Enjoy killing yourselves faster by smoking pot you. States with legal pot have sn increase in car accidents. Soon they will have a good test and put you in jail. Ex pot smoker here. Ruined my life. Clean now for 5 years. Lungs are a mess.,76.87% likely to be toxic.,1,0,0,,Bot assessment: 76.87% likely to be toxic.,,FP,
21d698a2-3aaf-4075-b5c7-992eda3e97e8,64NW7ODKRKXF5SZG7A2KPLMLLY,UNKNOWN,unabusive,unabusive,"Human frailties are prominently shown when we do not learn from history/experience.
Prohibition showed us it is nonsensical - and enhances criminal activity - to outlaw substances that alter consciousness.
Another example:  our 60+ year old ""war on drugs"" is not going well at all.  In fact, as time has gone on, more and more illegal drugs have been made available to those who chose to use them.  And, the longer the ""war on drugs"" has dragged on, the richer and richer the drug cartels and drug dealers have become.",,0,0,0,,,Recommended by bot,TP,
ecf1fa4d-5e84-4b5d-8be2-c4d8ba09535d,BVO66COL7MIMXPJHTBCRSKBLT4,jason,unabusive,unabusive,"I don't understand why people are so against marijuana. It is not the marijuana that is bad. Marijuana is just like anything else in life. It is up to the individual who uses it. Take for example alcohol it is fine as long as you don't abuse it.People like to make excuses for their own problems, but in all reality it is the person's own fault for not being responsible for themselves.",,0,1,0,,,Recommended by bot,TP,
a9fd0ca1-c54b-4eb1-88a0-d8de2ac64820,7TPFWH2DI7CXACQJEKGV6IGGBE,DONALD,unabusive,unabusive,"Start keeping track of the people killed on your highways by under the influence drivers. Many deaths on California's hwy. are stacking up due to legalizing pot. The greedy tax-and-spend politicians don't care about the deaths all they can see is the permit, licencing, fees and taxes they can get their hands on to create more government jobs",,0,5,1,,,,FN,good point
e41f855a-88e2-46f5-a52d-7581c4ad3b58,BMM7KZL3KFQSSMD2Z6YETJNPFY,Craig,unabusive,unabusive,"The 40-year war on drugs has created a generational criminal subclass of Americans (18 million) that are essentially barred from reintegrating into ""civilized"" society thanks to their criminal record and the problem is only getting worse. The ""land of the free"" currently keeps more of its citizens in jail (2.3 million) than ANY other country in the world. That's a 500% increase since the start of the drug war. The war on drugs is a cancer in our society and marijuana laws will soon be seen in the same shameful light we see the alcohol prohibition era. Both of which were facilitated by the same type of sanctimonious Christians who took over the GOP back in the Reagan era and are still hard at work trying to legislate their christian revision of sharia law on all Americans.",,3,0,2,,,Recommended by bot,FP,religious
5dc4a64c-a37e-4734-99ae-6588c81b988d,6EPTNIZ4BRSJPFRGQ3WN45AG7M,TAY,unabusive,unabusive,"So the Mormons can't drink coffee or coca cola, as they are ""stimulants"", but it is o.k. to smoke weed? I admit, weed does not seem to be a stimulant. Just the opposite really. Finally, some common sense.",,1,0,1,,,Recommended by bot,FP,religious
9a1c867e-e664-457b-ba81-a6737ecf625f,TGG7TYLPBQ23DK5O4R3RU57O7I,Glenn,unabusive,unabusive,"Michigan to me is so depressing that they would clammor to legalize pot, hell they probably would legalize heroin if they could, at least in Flint. Missouri (or Missourah) would be a nice state to live in if that state legalized the bud. North Dakota can kiss my behind, and yes, South Dakota is better than you!",,0,2,0,,,,TN,
